row.names,sample.id,Transect,Sample.type,Depth,Site
R2.N05B,R2.N05B,North,Saltwater,05m,N05
R2.N05S,R2.N05S,North,Saltwater,05m,N05
R2.N10B,R2.N10B,North,Saltwater,10m,N10
R2.N10S,R2.N10S,North,Saltwater,10m,N10
R2.N15B,R2.N15B,North,Saltwater,15m,N15
R2.N15S,R2.N15S,North,Saltwater,15m,N15
R2.N20B,R2.N20B,North,Saltwater,20m,N20
R2.N20S,R2.N20S,North,Saltwater,20m,N20
R2.S05B,R2.S05B,South,Saltwater,05m,S05
R2.S05S,R2.S05S,South,Saltwater,05m,S05
R2.S10B,R2.S10B,South,Saltwater,10m,S10
R2.S10S,R2.S10S,South,Saltwater,10m,S10
R2.S15B,R2.S15B,South,Saltwater,15m,S15
R2.S15S,R2.S15S,South,Saltwater,15m,S15
R2.S20B,R2.S20B,South,Saltwater,20m,S20
R2.S20S,R2.S20S,South,Saltwater,20m,S20
R3.N05S,R3.N05S,North,Saltwater,05m,N05
R3.N10S,R3.N10S,North,Saltwater,10m,N10
R3.N15S,R3.N15S,North,Saltwater,15m,N15
R3.N20S,R3.N20S,North,Saltwater,20m,N20
R3.S05S,R3.S05S,South,Saltwater,05m,S05
R3.S10S,R3.S10S,South,Saltwater,10m,S10
R3.S15S,R3.S15S,South,Saltwater,15m,S15
R3.S20S,R3.S20S,South,Saltwater,20m,S20
R4.N05B,R4.N05B,North,Saltwater,05m,N05
R4.N05S,R4.N05S,North,Saltwater,05m,N05
R4.N10B,R4.N10B,North,Saltwater,10m,N10
R4.N10S,R4.N10S,North,Saltwater,10m,N10
R4.N15B,R4.N15B,North,Saltwater,15m,N15
R4.N15S,R4.N15S,North,Saltwater,15m,N15
R4.N20B,R4.N20B,North,Saltwater,20m,N20
R4.N20S,R4.N20S,North,Saltwater,20m,N20
R4.S05B,R4.S05B,South,Saltwater,05m,S05
R4.S05S,R4.S05S,South,Saltwater,05m,S05
R4.S10B,R4.S10B,South,Saltwater,10m,S10
R4.S10S,R4.S10S,South,Saltwater,10m,S10
R4.S15B,R4.S15B,South,Saltwater,15m,S15
R4.S15S,R4.S15S,South,Saltwater,15m,S15
R4.S20B,R4.S20B,South,Saltwater,20m,S20
R4.S20S,R4.S20S,South,Saltwater,20m,S20
FL010322,FL010322,,Freshwater,,
FL011722,FL011722,,Freshwater,,
FL020121,FL020121,,Freshwater,,
FL021521,FL021521,,Freshwater,,
FL031521,FL031521,,Freshwater,,
FL032921,FL032921,,Freshwater,,
FL041221,FL041221,,Freshwater,,
FL042621,FL042621,,Freshwater,,
FL051021,FL051021,,Freshwater,,
FL052421,FL052421,,Freshwater,,
FL060721,FL060721,,Freshwater,,
FL062121,FL062121,,Freshwater,,
FL070821,FL070821,,Freshwater,,
FL071921,FL071921,,Freshwater,,
FL080221,FL080221,,Freshwater,,
FL081721,FL081721,,Freshwater,,
FL091321,FL091321,,Freshwater,,
FL092721,FL092721,,Freshwater,,
FL101121,FL101121,,Freshwater,,
FL102521,FL102521,,Freshwater,,
FL110821,FL110821,,Freshwater,,
FL112221,FL112221,,Freshwater,,
FL120621,FL120621,,Freshwater,,
FL122021,FL122021,,Freshwater,,
HPD0.POST,HPD0.POST,,Freshwater,,
HPD0.PRE,HPD0.PRE,,Freshwater,,
HPD1,HPD1,,Freshwater,,
HPD14,HPD14,,Freshwater,,
HPD3,HPD3,,Freshwater,,
HPD7,HPD7,,Freshwater,,
