,id,Genus,source
fSyn36,fSyn36,g__Cyanobium_PCC-6307,Freshwater
fSyn38,fSyn38,g__Cyanobium_PCC-6307,Freshwater
fSyn20,fSyn20,g__Cyanobium_PCC-6307,Freshwater
fSyn8,fSyn8,g__Cyanobium_PCC-6307,Freshwater
fSyn37,fSyn37,g__Cyanobium_PCC-6307,Freshwater
fSyn1,fSyn1,g__Cyanobium_PCC-6307,Freshwater
fSyn42,fSyn42,g__Cyanobium_PCC-6307,Freshwater
fSyn4,fSyn4,g__Cyanobium_PCC-6307,Freshwater
fSyn22,fSyn22,g__Cyanobium_PCC-6307,Freshwater
fSyn10,fSyn10,g__Cyanobium_PCC-6307,Freshwater
fSyn14,fSyn14,g__Cyanobium_PCC-6307,Freshwater
fSyn13,fSyn13,g__Cyanobium_PCC-6307,Freshwater
fSyn19,fSyn19,g__Cyanobium_PCC-6307,Freshwater
fSyn6,fSyn6,g__Cyanobium_PCC-6307,Freshwater
fSyn32,fSyn32,g__Cyanobium_PCC-6307,Freshwater
fSyn9,fSyn9,g__Cyanobium_PCC-6307,Freshwater
fSyn21,fSyn21,g__Cyanobium_PCC-6307,Freshwater
fSyn41,fSyn41,g__Cyanobium_PCC-6307,Freshwater
fSyn33,fSyn33,g__Cyanobium_PCC-6307,Freshwater
fSyn30,fSyn30,g__Cyanobium_PCC-6307,Freshwater
fSyn31,fSyn31,g__Cyanobium_PCC-6307,Freshwater
fSyn7,fSyn7,g__Cyanobium_PCC-6307,Freshwater
fSyn40,fSyn40,g__Cyanobium_PCC-6307,Freshwater
fSyn34,fSyn34,g__Cyanobium_PCC-6307,Freshwater
fSyn23,fSyn23,g__Cyanobium_PCC-6307,Freshwater
fSyn35,fSyn35,g__Cyanobium_PCC-6307,Freshwater
fSyn15,fSyn15,g__Cyanobium_PCC-6307,Freshwater
fSyn17,fSyn17,g__Cyanobium_PCC-6307,Freshwater
fSyn25,fSyn25,g__Cyanobium_PCC-6307,Freshwater
fSyn18,fSyn18,g__Cyanobium_PCC-6307,Freshwater
mSyn24,mSyn24,g__Synechococcus_CC9902,Marine
mSyn23,mSyn23,g__Synechococcus_CC9902,Marine
mSyn21,mSyn21,g__Cyanobium_PCC-6307,Marine
mSyn20,mSyn20,g__Synechococcus_CC9902,Marine
bSyn4,bSyn4,g__Cyanobium_PCC-6307,Both
mSyn16,mSyn16,f__Cyanobiaceae Family,Marine
mSyn14,mSyn14,g__Synechococcus_CC9902,Marine
mSyn13,mSyn13,f__Cyanobiaceae Family,Marine
mSyn12,mSyn12,g__Synechococcus_CC9902,Marine
mSyn11,mSyn11,f__Cyanobiaceae Family,Marine
mSyn10,mSyn10,g__Synechococcus_CC9902,Marine
bSyn3,bSyn3,g__Cyanobium_PCC-6307,Both
mSyn9,mSyn9,g__Cyanobium_PCC-6307,Marine
bSyn2,bSyn2,g__Cyanobium_PCC-6307,Both
bSyn1,bSyn1,g__Cyanobium_PCC-6307,Both
mSyn8,mSyn8,f__Cyanobiaceae Family,Marine
mSyn7,mSyn7,g__Synechococcus_CC9902,Marine
mSyn6,mSyn6,g__Synechococcus_CC9902,Marine
mSyn5,mSyn5,g__Cyanobium_PCC-6307,Marine
mSyn4,mSyn4,g__Synechococcus_CC9902,Marine
mSyn2,mSyn2,f__Cyanobiaceae Family,Marine
mSyn1,mSyn1,g__Synechococcus_CC9902,Marine
pchlor,pchlor,,Marine
